county,year,season,seasonal_rainfall_mm,rainy_days,heavy_rain_days,max_dry_spell_days,onset_week,temp_mean_c,temp_max_c,temp_min_c,elevation_m,drought_risk_index
Machakos,2021,Short Rains (OND),182.3,20,1,51,8,18.8,25.8,11.2,1429.0,1.0
Machakos,2022,Long Rains (MAM),93.5,18,0,23,8,20.5,27.3,12.7,1556.0,0.843
Machakos,2022,Short Rains (OND),97.8,23,0,29,7,18.6,25.3,12.0,1462.0,0.934
Machakos,2023,Long Rains (MAM),254.5,33,1,18,3,20.8,28.0,13.2,1516.0,0.549
Machakos,2023,Short Rains (OND),293.8,39,4,26,5,18.1,25.6,9.9,1553.0,0.624
Machakos,2024,Long Rains (MAM),324.6,18,7,22,6,20.3,28.3,12.0,1605.0,0.519
Machakos,2024,Short Rains (OND),192.7,34,1,16,3,18.1,24.7,10.7,1572.0,0.599
Machakos,2025,Long Rains (MAM),358.1,33,4,8,2,21.0,28.2,12.8,1518.0,0.25
Makueni,2017,Long Rains (MAM),299.8,19,4,17,1,23.1,30.7,15.4,1120.0,0.472
Makueni,2017,Short Rains (OND),276.7,25,7,23,6,19.9,27.6,12.0,1193.0,0.599
Makueni,2018,Long Rains (MAM),46.9,7,1,44,7,22.6,31.3,14.4,1202.0,1.0
Makueni,2018,Short Rains (OND),382.8,28,5,24,5,19.7,27.9,12.0,1224.0,0.474
Makueni,2019,Long Rains (MAM),182.7,21,2,34,8,22.1,29.3,14.9,1286.0,0.9
Makueni,2019,Short Rains (OND),1118.9,58,19,7,1,19.8,28.9,12.7,1241.0,0.0
Makueni,2020,Long Rains (MAM),390.6,31,6,16,1,22.7,30.3,15.0,1202.0,0.335
Makueni,2020,Short Rains (OND),61.7,10,0,28,6,19.1,27.3,11.6,1354.0,0.966
Makueni,2021,Long Rains (MAM),260.2,19,5,28,5,21.8,29.3,13.2,1337.0,0.701
Makueni,2021,Short Rains (OND),463.9,29,8,48,8,20.4,28.0,12.4,1170.0,0.75
Makueni,2022,Long Rains (MAM),237.6,14,4,32,4,23.9,31.2,16.5,1037.0,0.795
Makueni,2022,Short Rains (OND),316.9,26,5,30,5,20.6,28.2,12.6,1125.0,0.657
Makueni,2023,Long Rains (MAM),142.0,13,1,20,4,23.4,30.3,16.2,1073.0,0.731
Makueni,2024,Short Rains (OND),301.7,27,4,35,6,20.8,27.6,13.8,1143.0,0.758
Makueni,2025,Long Rains (MAM),295.1,26,4,32,3,23.5,30.5,16.6,1120.0,0.719
Migori,2015,Long Rains (MAM),105.6,21,0,13,1,21.7,29.0,14.4,1281.0,0.667
Migori,2015,Short Rains (OND),280.1,43,0,6,4,19.1,26.4,11.3,1281.0,0.323
Migori,2016,Long Rains (MAM),252.4,36,1,13,5,21.9,29.5,14.4,1281.0,0.471
Migori,2016,Short Rains (OND),198.2,19,2,27,5,19.1,26.8,10.4,1281.0,0.768
Migori,2017,Long Rains (MAM),238.4,36,0,15,7,21.6,28.8,13.6,1330.0,0.522
Migori,2017,Short Rains (OND),257.3,46,1,12,2,18.9,26.6,12.1,1350.0,0.449
Migori,2018,Long Rains (MAM),666.0,68,9,4,2,21.2,27.8,13.9,1401.0,0.0
Migori,2018,Short Rains (OND),457.3,68,3,6,2,18.8,25.9,11.4,1383.0,0.086
Migori,2019,Long Rains (MAM),335.2,47,3,17,1,21.7,28.6,14.7,1337.0,0.425
Migori,2019,Short Rains (OND),573.3,55,7,14,1,18.9,26.6,10.8,1398.0,0.06
Migori,2020,Long Rains (MAM),699.6,70,12,5,1,21.5,28.6,14.8,1372.0,0.0
Migori,2020,Short Rains (OND),377.2,45,3,8,3,19.5,27.5,12.3,1316.0,0.225
Migori,2021,Long Rains (MAM),590.9,64,8,8,5,21.7,28.5,14.8,1372.0,0.0
Migori,2021,Short Rains (OND),352.9,60,0,5,1,19.0,25.6,12.4,1402.0,0.21
Migori,2022,Long Rains (MAM),643.7,66,7,5,4,21.8,29.0,14.9,1373.0,0.0
Migori,2022,Short Rains (OND),365.3,59,0,11,1,19.0,27.0,12.3,1415.0,0.289
Migori,2023,Long Rains (MAM),678.4,71,12,5,2,21.7,29.4,14.8,1375.0,0.0
Migori,2023,Short Rains (OND),734.3,74,5,5,2,18.9,25.5,11.7,1418.0,0.0
Migori,2024,Long Rains (MAM),416.3,47,3,11,1,21.9,30.0,13.3,1359.0,0.221
Migori,2024,Short Rains (OND),591.7,64,6,5,1,18.9,25.7,12.1,1448.0,0.0
Migori,2025,Long Rains (MAM),673.8,62,10,7,2,21.6,29.5,14.6,1427.0,0.0
Mombasa,2017,Long Rains (MAM),74.1,4,2,9,2,29.4,36.8,22.4,8.0,0.645
Mombasa,2017,Short Rains (OND),375.2,32,4,22,1,27.3,34.2,19.8,11.0,0.452
